	top_level_mp	genes	n_genes	n_male	n_female	n_nonsexed
abnormal vibrissa morphology	integument phenotype	Abcb6,Acadm,Adam17,Adamtsl4,Alg8,Anks4b,Anxa6,Apmap,Arhgef4,Atp2b1,Bap1,Chst8,Ckb,Clca1,Clrn1,Crb2,Ctso,Dele1,Furin,Gp6,Gsto2,Gys2,Icam5,Ifnar1,Lor,Mfsd2b,Ovol1,Pdzd8,Pigl,Prss53,Ptbp2,Rab1a,Rhbdf2,Rspo1,Sec63,Slc4a1ap,Slc52a3,Stx6,Tcf7l1,Tmem150b,Trappc9,Trim39,Tuft1,Vamp3,Xxylt1,Zbed5	46	23	25	4
abnormal visceral yolk sac morphology	embryo phenotype	Alg10b,Eng,Faf2,Folr1,Gna13,Got2,Gxylt1,Ift52,Krit1,Ndufs7,Nog,Nr6a1,Nsmce2,Phgdh,Pigq,Psmg1,Rad9a,Rb1cc1,Tbx20,Uggt1	20	19	16	0
abnormal vitelline vasculature morphology	embryo phenotype,cardiovascular system phenotype	Alg10b,Asb2,Flnc,Folr1,Gxylt1,Ipo9,Krit1,Mdh2,Nog,Phgdh,Pigq,Rad9a,Romo1,Tbx20,Uggt1,Vcan	16	15	14	0
abnormal vitreous body morphology	vision/eye phenotype	1700001O22Rik,Agbl1,Ahctf1,Ankrd11,Apmap,Cd19,Coq6,Ctrc,Dnm1l,Elapor1,Fads6,Fpr3,Glipr1,Hipk4,Hmbs,Klk5,Lat,Lcp2,Man2a1,Mettl5,Mmd,Mx2,Pcsk1,Plekhg3,Prkab1,Rrp1b,Rspo1,Satb1,Slc7a11,Stx5a,Sun1,Tbce,Tex2,Trf,Wdsub1	35	9	19	11
abnormal vocalization	behavior/neurological phenotype	1700025G04Rik,Aars2,Acap2,Adh5,Ankrd52,Ap2a1,Appbp2,Arhgap21,Atp7a,Atxn7l3,B4galnt3,Bap1,Brd7,Bves,Cabp2,Ccdc170,Cdc23,Cep95,Cgref1,Cldn3,Coq3,Cyp17a1,D430041D05Rik,D5Ertd579e,Dhx38,Dnajb2,Dnase1l2,Dync1h1,Ecpas,Efna1,Emc10,Emilin2,Eps15l1,Fam155a,Fam24b,Fbp2,Fbxo11,Fbxo21,Frmd6,Gfpt2,Gm12695,Gm20498,Hnrnph2,Hspb9,Hspd1,Ier3ip1,Inhbb,Ino80,Ints3,Ints7,Kcnv1,Klhl5,Klkb1,Krt25,Lmod3,Mak16,Mcam,Mier1,Mprip,Mypn,Mysm1,Nup153,Otogl,Pgm1,Pkmyt1,Plcb2,Pmpca,Ppfia1,Ppfia3,Ppfibp2,Ppp2r5d,Ppp6c,Prrc2c,Prss56,Ptchd1,Ralgps1,Relch,Rnf144b,Rnf214,Samd11,Sccpdh,Setbp1,Sf3b3,Slc20a2,Slc39a10,Slc47a1,Sox14,Stk35,Synm,Taok3,Tfrc,Tmem256,Tmie,Tomm20,Tpcn2,Trabd2b,Trank1,Trim15,Tspan11,Ttc7,Ube2i,Utp20	102	71	61	20
abnormal whole-body plethysmography	respiratory system phenotype	Dll1,Eya3,Insl5,Myo6,Pde6b,Tmc1	6	0	6	17
abnormal zygomatic bone morphology	craniofacial phenotype,skeleton phenotype	Amelx,Colec10,Duoxa2,Fbn2,Fbxw15,Gmpr,Lrrk1,Sik3,Spred1,Ttc28	10	9	5	1
abscess	nan	Dok7	1	1	0	0
absent adrenal gland	endocrine/exocrine gland phenotype	Adnp2,Cox6b1,Mogs,Wdr11	4	1	3	0
absent epididymis	reproductive system phenotype	Gata2,Gja10,Kiss1r,Nhlh2	4	14	0	0
absent external female genitalia	reproductive system phenotype	Cyp17a1	1	0	0	1
absent liver	liver/biliary system phenotype	Cav3	1	1	0	0
absent lymph nodes	immune system phenotype	Fbxw9,Mmp15,Mogs	3	4	3	0
absent optic nerve	vision/eye phenotype,nervous system phenotype	Angptl4,Atg9b,Bnip3,Cacna1f,Ccdc25,Crbn,Dsc3,Gpx7,Krit1,Npas2,Phldb2,Prepl,Timp4	13	0	13	0
absent ovary	reproductive system phenotype,endocrine/exocrine gland phenotype	Kiss1r,Nhlh2,Pbx3	3	0	14	0
absent pancreas	endocrine/exocrine gland phenotype	Tmem248	1	3	7	0
absent pinna reflex	behavior/neurological phenotype	A830031A19Rik,Agap1,Ap2a2,Bin2,Camsap3,Cdh23,Cep250,Csnk1g3,Duoxa2,Eml1,Espn,Fads3,Fbxo33,Gas2l2,Gdap2,Gpr152,Ildr1,Kdm5b,Klc2,Kmt2e,Ldhb,Lrba,Mau2,Minar2,Mir96,Mms22l,Msl1,Mta1,Myo15,Myo7a,Oard1,Ocm,Pop4,Ppil3,Prkab1,Prss53,Pycr2,Rasal2,Rida,Rnf10,Setd5,Slc20a2,Slc25a21,Spns2,Tmem189,Tram2,Ush1c,Wbp2,Wdr47,Zfp719	50	30	34	13
absent seminal vesicle	reproductive system phenotype,endocrine/exocrine gland phenotype	Acoxl,C1qtnf12,Cand1,Chmp2b,Clasp1,Dnmbp,Egr1,Fsd2,Gp2,Kcnh8,Kiss1r,Larp1,Micu3,Neurl4,Nhlh2,Nucb1,Pole2,Rpe,Shld1,Slc25a18,Ubtf,Wdr11,Zfp236	23	48	0	0
absent spleen	immune system phenotype,hematopoietic system phenotype	Dicer1,Fbxw9,Prdm4	3	1	2	0
absent stomach	digestive/alimentary phenotype	Rnase13	1	0	1	0
absent teeth	growth/size/body region phenotype,craniofacial phenotype,skeleton phenotype	Amelx,Evc2,Lima1,Lrrk1,Npepps,Slc6a3,Zzef1	7	4	5	0
absent testes	reproductive system phenotype,endocrine/exocrine gland phenotype	Gja10,Kiss1r,Nhlh2,Penk,Pgd,Xiap	6	17	2	0
absent urinary bladder	renal/urinary system phenotype	Abi2	1	0	1	0
absent uterus	reproductive system phenotype	Kiss1r	1	0	7	0
absent vibrissae	integument phenotype	AU040320,Adamtsl4,Atp2b1,Barx2,Cib3,Clec3a,Dgat2l6,Eef1b2,Fer1l4,Ficd,Frrs1l,Gpr34,Hnrnph2,Irgm2,Kctd17,Mcub,Muc3a,Nacc1,Nup153,Odf3l2,Pdpn,Pmpca,Rel,Riiad1,Ripk3,Sec63,Slc52a2,Tbl1xr1,Tmem150b,Trim39,Utp4	31	14	14	4
acanthosis	nan	Lrig1	1	1	0	0
acidophilic macrophage pneumonia	nan	Adgrf5,Itch	2	1	2	0
acute inflammation	nan	C9orf72,Cfap57,Itch,Shld1	4	2	3	0
alopecia	integument phenotype	Rhbdf2	1	1	1	0
anophthalmia	vision/eye phenotype	1700025G04Rik,1700034E13Rik,2700054A10Rik,Abce1,Acvr2a,Aff4,Anapc15,Ankrd52,Asb7,Atg9b,Atp13a1,Atp8b1,Axin2,Babam1,Bbs1,Bmi1,C1qtnf12,Caskin1,Ccn3,Cep135,Chd1,Cndp2,Dzip1l,Elavl1,Eloa,Ercc4,Fam32a,Fam83d,Fbxw9,Fmo3,Focad,Foxd4,Foxe3,Fuz,Gabpa,Gapvd1,Ggnbp2,Gp2,Gpa33,Grik5,Gsg1l,Hacd3,Hesx1,Il9r,Ino80c,Inpp5e,Inpp5j,Ipo7,Jun,Kcnt1,Lhfp,Lrch2,Lrrc8a,Luc7l,Mab21l2,Malrd1,Mapk6,Mcl1,Mgst2,Mmachc,Mmp15,Mogs,Mtf1,Mycbp2,Myct1,Nck1,Nxn,Olfr392,Pax6,Pdik1l,Pgbd1,Pgbd5,Prkab1,Psph,Ptchd3,Pygo2,Rab34,Rac1,Rbm22,Rbm25,Rbm45,Rexo1,Rgl1,Rit1,Rnf10,Rnf168,Slc22a3,Slc25a1,Slc36a1,Snx3,Spp1,Taar8c,Tctn3,Tm4sf4,Tmem209,Tnfrsf11b,Togaram1,Ubn2,Uggt1,Unc5cl,Wdr11,Yipf6,Yy2,Zbtb5,Zfp503,Zkscan7	106	42	99	3
aorta dilation	cardiovascular system phenotype	Asb7,Bmerb1,Klrb1,Lsm1,Nub1,Spg20,Trabd2b	7	5	3	0
aorta stenosis	cardiovascular system phenotype	Cpe,Spred1	2	0	1	1
apoptosis	nan	Aspg	1	1	1	0
arthrosis	nan	Tbx4	1	0	1	0
aspermia	nan	Baz1a,Ccnb1ip1,Ggnbp2,Hsd17b4,Katnal2,Rnf216,Syce2,Vps13b,Wdr62,Zcwpw1	10	17	0	0
athymia	immune system phenotype,endocrine/exocrine gland phenotype,hematopoietic system phenotype	Foxn1,Mmp15	2	3	2	0
atrophy	nan	Adipor1,Adipor2,Aqp3,Arpc1b,Aspg,Chchd7,Fbxo7,Gm4922,Hdgfl3,Hmx2,Lpcat1,Mcidas,Mcph1,Mfsd8,Mrnip,Nufip1,Rab39b,Sacs,Sdhc,Setd3,Slc3a1,Smoc1,Sms,Upf3b	24	27	14	0
bleb	integument phenotype	Alg10b,Cep97	2	2	1	0
blind uterus	reproductive system phenotype	Arhgap28,Ccn3,Ccr8,Cdcp2,Chmp2b,Clasp1,Col27a1,Gpatch3,Grik3,Kat8,Kif9,Lmod3,Mxd3,Nlrx1,Odf2l,Pole2,Ptp4a3,Rbm20,Sstr2,Stag1,Tnfrsf11b,Vldlr,Zfp236	23	0	25	0
brachydactyly	limbs/digits/tail phenotype	Dnase1l2,Furin,Gkn2,Mogs,Spry4	5	6	4	0
cardiovascular system phenotype	nan	Agl,Aif1,Aire,Alkbh8,Ap4e1,Apbb1ip,Atp6v0a1,Atp6v0d1,Atp8b1,Atrip,Bzw2,C7,C9,Casq2,Chst14,Ciao2b,Ctla2b,Dctn2,Dnajc5g,Drc7,Edc3,Eif4enif1,Elof1,Fam161a,Fam162a,Far2,Fbxo10,Gja8,Gramd1c,Grtp1,Hpse,Hsf4,Kcnh3,Klkb1,Lactb,Laptm4b,Lrp1,Ltn1,Mamld1,Masp1,Nin,Paqr6,Pcyox1l,Ppp2r2b,Ptprv,Rps26,Rsf1,Septin5,Serpinb5,Sgip1,Slc2a2,Slc44a4,Spink13,Trip13,Tuba8,Ube2g1,Vsig8,Zfp275	58	0	35	23
cataract	vision/eye phenotype	1700001O22Rik,4932438A13Rik,Aasdh,Abcg8,Actg2,Adamts12,Adamts14,Adamts18,Adamts6,Adamtsl4,Adgrl4,Adnp2,Agap1,Agbl1,Agl,Akap13,Aldh1l1,Angptl1,Ankrd13c,Ap1g1,Apoc4,Aptx,Arhgap8,Arih1,Arrdc4,Arvcf,Asxl1,Atg4b,Atl3,Atn1,B4galt5,Barx2,Bms1,Brd9,Brip1,Bzw1,Camsap3,Cap2,Capn12,Cbr2,Ccdc25,Cct3,Cdc14a,Cdc37l1,Cdk13,Cdk2ap2,Cdkn2a,Cdsn,Cdyl2,Cep135,Cep43,Cep55,Cfap206,Chordc1,Chp1,Cib3,Cln8,Clptm1l,Col16a1,Col4a4,Cox20,Cpsf7,Cstdc3,Cstf3,Ctps,Cyb561a3,Cyb5r3,Cyba,Cyp4f14,Cyp7a1,Dctn5,Dennd5b,Dip2c,Disc1,Dnase1l2,Dop1a,Drg1,Dsg1b,Dync1li1,E2f3,Ebna1bp2,Ell2,Epc2,Eppin,Fabp3,Fam162a,Fam216a,Fgf9,Fndc3a,Frmd6,Fyb,Fyco1,Galk2,Galnt13,Gde1,Gdi2,Ggh,Ggps1,Gmnn,Gna15,Gnptab,Gnptg,Gpcpd1,Gpsm2,Greb1l,Grik3,Grik5,Grm6,Gtpbp4,Hacd3,Hagh,Hdac1,Herc1,Hibch,Hipk4,Hk3,Hmbox1,Hmcn1,Hook2,Hpse2,Hsd17b4,Ifit3,Ighmbp2,Ik,Il1f5,Il9r,Ilkap,Kansl1,Kansl1l,Kat8,Katnip,Kbtbd8,Kctd3,Kdm8,Klk13,Knl1,Krt86,L2hgdh,Lcp2,Lsm1,Macrod1,Mast3,Mau2,Mettl5,Mfsd1,Micalcl,Miga1,Mipol1,Mir204,Mlh1,Mllt6,Mmp2,Mrap,Mrgprb2,Msh3,Mtap,Mthfsl,Myo10,Myo15,Naaladl2,Nans,Ndfip2,Nell1,Nol3,Notum,Nr1d2,Nutf2,Oplah,Osbp,P2rx7,Pah,Pcdhb10,Pdhx,Pdlim7,Pebp1,Pex6,Pgbd1,Phf20l1,Phkg1,Phrf1,Pja1,Pla2g10,Plac8,Plcb1,Plekha5,Polg2,Polr1c,Polr3d,Ppie,Pramel13,Prc1,Prkab1,Prmt8,Prpf40a,Psma8,Ptp4a1,Ptprk,Pudp,Rab35,Rab39b,Rad54l2,Raet1c,Raf1,Rbm20,Rbm25,Rcc1,Rcn1,Reps2,Rev3l,Rnf10,Rnf135,Rnf157,Rnf168,Rnf43,Rttn,S100a3,Scamp2,Scfd1,Sec24b,Sema3f,Sema4d,Sepsecs,Septin11,Serpinb2,Serping1,Setmar,Sgo1,Shank1,Shprh,Siva1,Slc17a8,Slc20a2,Slc2a5,Slc30a2,Slc30a4,Slc36a1,Slc44a3,Slco6d1,Snapc4,Sowaha,Sparc,Spred2,Spryd3,Spz1,St6galnac3,St8sia6,Stat4,Stim1,Stim2,Supt7l,Taar8b,Taar8c,Tagap1,Tbc1d8,Tbce,Tdp1,Tex2,Tmem104,Tmem11,Tmem145,Tmem225,Tmem74,Tnk2,Top2a,Tpk1,Traf7,Trf,Trmt10a,Trmt9b,Trp53inp2,Tulp2,Uap1,Ube4a,Ubl7,Ubn2,Uggt1,Ulk3,Uqcrb,Usp42,Usp53,Vps33a,Vps4a,Wars,Wdr33,Wdsub1,Xbp1,Xpo4,Yae1d1,Zc3h11a,Zfp182,Zfp629,Zfp91,Zfp92,a	294	105	93	135
cataract; lens extrusion	nan	Pah,Vps13b	2	2	2	0
cell and tissue damage	nan	Bhmt,Nfil3,Slc3a1	3	4	1	0
cell death	nan	C9orf72	1	0	1	0
chronic inflammation	nan	C9orf72,Itch,Slc3a1	3	3	4	0
ciliary motility defect	nan	Mcidas	1	1	0	0
cleft palate	digestive/alimentary phenotype,craniofacial phenotype,growth/size/body region phenotype	Ap2b1,Col11a1,Col27a1,Cramp1l,Dnmt3b,Esrp1,Fgf9,Fgfr1op2,Focad,Fuz,Gdf11,Hacd1,Hesx1,Kcnj13,Kdelr2,Lgr5,Mllt10,Msx1,Nxn,Pax6,Pcsk5,Pfdn1,Rab34,Rgl1,Ror2,Slc35d1,Slmap,Snx3,Stag1,Top2b	30	26	31	0
compression	nan	Baz2a	1	1	0	0
convulsive seizures	nervous system phenotype,behavior/neurological phenotype	Adora2b,Alg2,Bex4,Bhlhe40,Cdca5,Dnmt3a,Fam161a,Kcnh3,Klk14,Lin28b,Loxl1,Mag,Myo3b,Rnf10,Snapin,Tppp	16	0	8	8
cornea ulcer	vision/eye phenotype	Knstrn,Lmna	2	0	0	2
corneal deposits	vision/eye phenotype	Anpep,Best2,Cog7,Diaph3,Lpcat2b,Plod2,Pus1,Slc5a5,Spp1,Svep1	10	2	5	3
corneal opacity	vision/eye phenotype	Acsl5,Agap1,Aspa,Atp8b1,Barx2,Bri3,Camsap3,Ccdc178,Celsr1,Cidea,Clec5a,Crtc3,Dennd5b,Diaph3,Dsc2,E2f3,Ehmt1,Elk4,Elmo3,Erfe,Fbn2,Fkbp5,Foxe3,Gabra2,Gmppa,Hbs1l,Hip1,Ik,Itpr3,Kansl1,Kat14,Klhdc2,Krt80,Lama4,Mettl5,Mindy1,Myo10,Ngp,Parl,Pcdh18,Pfn1,Pitx2,Pld4,Psmg1,Ptma,Rab19,Rab39b,Rbm25,Ric8b,Rnf168,Rnf19b,Sdc1,Shroom4,Slc26a9,Spns2,Spp1,Sprr1a,Spry4,Stat4,Stra6l,Tcf7l1,Tenm4,Tmco1,Tnfrsf11b,Top2a,Trim39,Trpm7,Vwa5a,Yars,Zdhhc23,Zzz3	71	27	34	22
corneal vascularization	vision/eye phenotype,cardiovascular system phenotype	Afg1l,Barx2,Cisd2,Diaph3,Dsc2,E2f3,Fbn2,Ik,Kansl1,Kat14,Kdm8,Nodal,Pex3,Plekha5,Pus1,Sfrp2,Spns2,Spp1,Trim39,Trpc3,Ubac1,Ucp1	22	8	8	10
cryptorchism	reproductive system phenotype,endocrine/exocrine gland phenotype	Rnf148	1	5	0	0
curly tail	limbs/digits/tail phenotype	Mysm1,Sfrp2,Vangl2	3	2	1	2
cyanosis	homeostasis/metabolism phenotype	Bclaf1,Cacna1s,Cgn,Grcc10,Kif5a,Msx1,Psen1,Rai14,Zfp536	9	8	6	0
cyst	nan	Cdkn2a,Ide	2	2	1	0
cystolithiasis	renal/urinary system phenotype	Afdn,Arih2,Caskin1,Cwc22,Dennd2c,H2-Q10,Slc3a1	7	11	3	0
decreased B cell number	immune system phenotype,hematopoietic system phenotype	Bach2,Cxcr2,Duoxa2,Elmod1,Marchf9,Mysm1,Nfkbid,Pgd,Pknox1,Plcg2,Rhbdd1,Rhbdf2,Ric1,Tent4a,Tmem127	15	9	9	7
decreased B-1a cell number	immune system phenotype,hematopoietic system phenotype	Arhgap17,Atp9a,Tent4a	3	1	0	2
decreased B-2 B cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Bach2,Duoxa2,Tmem127	4	2	1	2
decreased CD11b-high dendritic cell number	immune system phenotype,hematopoietic system phenotype	Bach2,Duoxa2,Nub1,Pclaf	4	1	0	4
decreased CD11b-low dendritic cell number	immune system phenotype,hematopoietic system phenotype	Trappc9	1	0	0	1
decreased CD4-negative NK T cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Bach2,Gimap6,Nub1,Satb1,Tent4a,Ube3c	7	4	3	2
decreased CD4-negative, CD25-positive NK T cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Mzb1,Tent4a,Tmem132b	4	0	3	1
decreased CD4-positive NK T cell number	immune system phenotype,hematopoietic system phenotype	Babam1,Bach2,Clpp,Cog6,Gmds,Krtap8-1,Niban1,Nub1,Pdia6,Prss54,Sik3,Tent4a	12	2	4	9
decreased CD4-positive, CD25-positive NK T cell number	immune system phenotype,hematopoietic system phenotype	Klrb1	1	0	1	0
decreased CD4-positive, CD25-positive, alpha-beta regulatory T cell number	immune system phenotype,hematopoietic system phenotype	Apbb1ip,Gmds	2	1	0	1
decreased CD4-positive, alpha beta T cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Acp2,Aldh2,Arpc1b,D6Wsu163e,Elk4,Gmds,Gper1,Hprt,Krtap8-1,Nr1d2,Nrbp1,Nub1,Sgsm1,Sik3,Tmem126a,Tmem127,Tnfrsf1b	18	3	4	18
decreased CD4-positive, alpha-beta memory T cell number	immune system phenotype,hematopoietic system phenotype	Il27,Irf5	2	3	0	0
decreased CD5-positive Ly6C-positive T cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Nub1,Ube3c	3	2	1	1
decreased CD5-positive gamma-delta T cell number	immune system phenotype,hematopoietic system phenotype	Sik3	1	0	0	2
decreased CD8-positive, CD25-positive alpha-beta T cell number	immune system phenotype,hematopoietic system phenotype	2510009E07Rik,3425401B19Rik,Abcg8,Lratd2,Marchf8,Mzb1,Sbspon,Tmem132b,Tmem150b	9	3	3	5
decreased CD8-positive, alpha-beta T cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Acp2,Aldh2,Apbb1ip,Arhgef1,Asb7,Brd2,Cog6,Cxcr2,Dph6,Duoxa2,Elk4,Fam234b,Gmds,Gper1,Nr1d2,Nub1,Prpsap2,Prss50,Rnf169,Rwdd1,Serf1,Tmprss6,Traf2,Usp12	25	6	11	20
decreased CD8-positive, naive alpha-beta T cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Apbb1ip,Bach2,Cog6,Dcaf12,Dph6,Gmds,Klhl1,Nwd2,Plag1,Ppp4r3b,Rnf14,Zfp644	13	6	4	16
decreased IgA level	immune system phenotype,hematopoietic system phenotype	Myl4,Usp12	2	0	1	1
decreased IgE level	immune system phenotype,hematopoietic system phenotype	Arhgef4,Grhl3,Mtmr4,Mysm1,Nr1i2,Pias2,Rxfp2,Setmar,Zfp760	9	4	1	4
decreased IgG1 level	immune system phenotype,hematopoietic system phenotype	Aco2,Arhgef4,Dock10,Dpp9,Gbx1,Hells,Pknox1	7	6	1	1
decreased IgG2b level	immune system phenotype,hematopoietic system phenotype	Dock10,Fam110b,Rbm4	3	3	1	0
decreased IgG3 level	immune system phenotype,hematopoietic system phenotype	Aco2,Plcg2	2	1	0	1
decreased IgM level	immune system phenotype,hematopoietic system phenotype	Aco2	1	1	0	0
decreased KLRG1+ CD8 alpha beta T cell number	immune system phenotype,hematopoietic system phenotype	Gmds	1	0	0	1
decreased KLRG1-positive NK cell number	immune system phenotype,hematopoietic system phenotype	Arpc1b,Cnot4,Duoxa2,Gmds,Gt(ROSA)26Sor,Ifnar1,Sik3,Tmem127,Trappc9	9	8	6	12
decreased KLRG1-positive T-helper cell number	immune system phenotype,hematopoietic system phenotype	Sik3,Tmem127	2	0	0	3
decreased Langerhans cell number	immune system phenotype,hematopoietic system phenotype	Hbs1l	1	0	0	2
decreased Ly6C high monocyte number	immune system phenotype,hematopoietic system phenotype	Tmem127	1	2	2	0
decreased Ly6C low monocyte number	immune system phenotype,hematopoietic system phenotype	Duoxa2,Pycr2	2	3	1	0
decreased Ly6C-positive NK T cell number	immune system phenotype,hematopoietic system phenotype	Fam172a,Nub1,Pepd,Ube3c	4	2	2	1
decreased Ly6C-positive immature NK cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Arhgef1,Asb2,Cog6,Fam172a,Ube3c	6	2	2	4
decreased Ly6C-positive mature NK cell number	immune system phenotype,hematopoietic system phenotype	Arpc1b,Cog6,Dph6,Gmds,Rwdd1,Sik3,Tent5a	7	0	1	8
decreased NK T cell number	immune system phenotype,hematopoietic system phenotype	Babam1,Bach2,Clpp,Cog6,Dph6,Krtap8-1,Mfng,Ncf2,Niban1,Nub1,Pdia6,Prss54,Prss57,Rhobtb1,Satb1,Sik3,Ube3c	17	10	8	7
decreased NK cell number	immune system phenotype,hematopoietic system phenotype	Arpc1b,Asb5,Cd200,Cog6,Ddx52,Duoxa2,Entpd1,Fam71d,Gmds,Marchf7,Ncf2,Nr1d1,Nub1,Parp1,Parvb,Sik3,Spink14,Tmem127,Tmprss6,Zfp644	20	12	8	9
decreased T cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Acp2,Arhgef4,Brpf1,Cd28,Cog6,Cxcr2,Dock10,Elk4,Gper1,Mmp11,Ncf2,Nr1d2,Parvb,Pclaf,Pknox1,Prss50,Rcc1l,Sik3,Tnfrsf1b,Usp12	21	12	11	5
decreased T-helper cell number	immune system phenotype,hematopoietic system phenotype	Cog6,Dph6,Gda,Gmds,Hbs1l,Krtap8-1,Sik3,Tmem126a,Vps13a	9	0	0	11
decreased alpha-beta T cell number	immune system phenotype,hematopoietic system phenotype	Cog6,Gmds,Ncf2,Sik3,Tmem126a,Traf2	6	2	2	7
decreased anxiety-related response	behavior/neurological phenotype	4932438A13Rik,Acat1,Adamtsl4,Adprm,Ap3s2,Arid3a,Arih1,Arrb1,Atp1a3,Cacna1b,Cacna2d4,Camk2b,Ccdc28a,Cd276,Cep85l,Cmtr2,Cnot7,Comt,Cystm1,Dcaf10,Dis3l2,Dnajc5g,Dnajc9,Egfem1,Elmod1,Foxe3,Gnb1,Gnb4,Grm7,Heg1,Htr1b,Kcne1,Kcnf1,Kcnj6,Kcnt1,Lrit3,Med20,Myh1,Myo6,Naa16,Napb,Nin,Nol4,Nptn,Nsun5,Nwd2,Ovol1,Ppp1r26,Ppp1r9b,Ptp4a3,Rab24,Rab5a,Rbm4b,Rnf214,Scg5,Sec14l1,Sec24b,Slc25a44,Strbp,Stx6,Syncrip,Tdrd3,Tldc2,Tmem240,Tppp,Tprn,Trim33,Tubal3,Wscd2,Ylpm1,Zdhhc11,Zfp281,Zfp42,Zfp804a,Zscan5b	75	40	18	22
decreased basophil cell number	immune system phenotype,hematopoietic system phenotype	Arhgap10,Arhgef6,Arid1b,B4gat1,Bdkrb1,Blnk,Cacna1f,Ccdc25,Ccdc92,Cd74,Chmp4c,Col26a1,Col4a3,Cpa1,Dnah6,Fbxo10,Gigyf2,Gjb3,Gp1bb,Gprc5b,Gpx5,H1f8,Haao,Hmx2,Ifi204,Ikzf3,Kcnj10,Krtap17-1,Lpin2,Lrrk1,Magt1,Mamld1,Mpzl1,Mtmr7,Myh8,Nabp2,Negr1,Nhlh1,Nhs,Nras,Pan3,Pard3,Peli1,Phka1,Pik3ap1,Poc5,Prpf18,Prss1,Psen1,Ptgdr,Pttg1,Pwwp3a,Rab39b,Rtn4r,Rttn,Shroom4,Sphk1,Spred3,Sspo,Tagap1,Tardbp,Tceal1,Tceal3,Tedc1,Tlr2,Top2a,Trak2,Ulk3,Usp11,Usp29,Vsir,Zc3h12b	72	24	14	52
decreased blood urea nitrogen level	homeostasis/metabolism phenotype	Abca13,Abcg2,Acap1,Acvr1,Adgrd1,Adss,Aif1,Ak7,Alox12e,Ankrd13a,Ap1s2,Ap4e1,Apbb1ip,Arhgef4,Arih2,Arl5c,Atg4b,Bag3,Bhmt,Bscl2,Btnl1,Cadm1,Camsap3,Carf,Chmp2b,Cisd2,Cldn13,Cldn18,Cmtm5,Col1a2,Col5a1,Cox5b,Cpgi23001,Cpgi5563,Cracr2a,Csmd3,Ctc1,Ctsd,Cyba,Cyfip1,Cyp4b1,Cyp7a1,D630045J12Rik,Dhx35,Dnmt3b,Dyrk1b,Ehmt1,Enc1,Erf,Evc2,Fam110b,Fam136a,Fbxo10,Fpr3,Ftl1,Gata2,Gpr182,Gsg1l,Gstcd,Herc1,Il10ra,Il1r2,Ino80,Kif1b,Krt79,Lrrk1,Man2a1,Maneal,Mfn2,Msl1,Mtif3,Mtor,Mybphl,Nmt2,Nodal,Ntf5,Pcgf2,Pde1a,Pdp1,Phex,Phf21b,Plcb2,Plcg2,Ppp6c,Psat1,Pspc1,Rab36,Rasal3,Rnf25,Rsad1,Scaper,Sik3,Sirpa,Skida1,Slc13a3,Slc16a2,Slc25a1,Sox18,Tap1,Tardbp,Tatdn3,Tbr1,Tgfb1i1,Tm4sf1,Tmem116,Tmem119,Tmem72,Tnxb,Ube2m,Usp12,Usp21,Vdac1,Wdr11,Wnt10b,Xxylt1,Yipf1,Ythdf3,Ywhab,Zfp536	119	31	65	37
decreased blood uric acid level	homeostasis/metabolism phenotype	Agpat3,Ccdc137,Tpi1	3	2	0	1
